"mz_rt_min"	"calculated_mw"	"exact_mass"	"kegg_id"	"name"	"formula"	"pathways"	"annotation"
"153.02954_1.214"	154.03707	154.0378	"C03277"	"Imidazol-5-yl-pyruvate; 3-(Imidazol-5-yl)pyruvate; Imidazole pyruvate; Imidazole pyruvic acid; (S)-3-Amino-2-methylpropanoate; (S)-beta-Aminoisobutyrate; (S)-3-Aminoisobutyric acid; Inosine-5'-carboxylate"	"C6H6N2O3"	"Metabolic pathways;Biosynthesis of secondary metabolites;Carbapenem biosynthesis;Glycine, serine and threonine metabolism;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Arginine and proline metabolism;Pentose and glucuronate interconversions;Ascorbate and aldarate metabolism;2-Oxocarboxylic acid metabolism;Valine, leucine and isoleucine degradation;Histidine metabolism;Biosynthesis of various siderophores"	"putative_single"
"153.04083_2.056"	152.03355	152.0334	"C00385"	"Carnosine; Nalpha-(beta-alanyl)-L-histidine; 2-(4-Imidazolyl)ethylamine; Ubiquinol-n; Xanthine"	"C5H4N4O2"	"Metabolic pathways;Gastric acid secretion;Purine metabolism;Biosynthesis of secondary metabolites;Nucleotide metabolism;Biosynthesis of cofactors;Neuroactive ligand-receptor interaction;Neuroactive ligand signaling;Synaptic vesicle cycle;Inflammatory mediator regulation of TRP channels;AMPK signaling pathway;ABC transporters;Microbial metabolism in diverse environments;Protein digestion and absorption;Biosynthesis of plant secondary metabolites;Biosynthesis of alkaloids derived from histidine and purine;Phosphotransferase system (PTS);beta-Alanine metabolism;Histidine metabolism;Starch and sucrose metabolism;Amino sugar and nucleotide sugar metabolism;Biosynthesis of nucleotide sugars;Degradation of flavonoids;Caffeine metabolism;Fc epsilon RI signaling pathway;Ubiquinone and other terpenoid-quinone biosynthesis;Fructose and mannose metabolism;Flavonoid biosynthesis;Asthma;Histamine H2/H3 receptor agonists/antagonists;Flavone and flavonol biosynthesis"	"putative_single"
"153.04083_2.843"	152.03356	152.0334	"C00385"	"Carnosine; Nalpha-(beta-alanyl)-L-histidine; 2-(4-Imidazolyl)ethylamine; Ubiquinol-n; Xanthine"	"C5H4N4O2"	"Metabolic pathways;Gastric acid secretion;Purine metabolism;Biosynthesis of secondary metabolites;Nucleotide metabolism;Biosynthesis of cofactors;Neuroactive ligand-receptor interaction;Neuroactive ligand signaling;Synaptic vesicle cycle;Inflammatory mediator regulation of TRP channels;AMPK signaling pathway;ABC transporters;Microbial metabolism in diverse environments;Protein digestion and absorption;Biosynthesis of plant secondary metabolites;Biosynthesis of alkaloids derived from histidine and purine;Phosphotransferase system (PTS);beta-Alanine metabolism;Histidine metabolism;Starch and sucrose metabolism;Amino sugar and nucleotide sugar metabolism;Biosynthesis of nucleotide sugars;Degradation of flavonoids;Caffeine metabolism;Fc epsilon RI signaling pathway;Ubiquinone and other terpenoid-quinone biosynthesis;Fructose and mannose metabolism;Flavonoid biosynthesis;Asthma;Histamine H2/H3 receptor agonists/antagonists;Flavone and flavonol biosynthesis"	"putative_single"
"153.05389_1.18"	152.04642	152.0473	"C01972"	"m7G(5')pppAm-mRNA; mRNA containing a 2'-O-methyladenosine cap; 5-(N7-Methyl 5-triphosphoguanosine)-2'-O-methyladenosine-[mRNA]; (R)-Mandelic acid; 11-Oxosteroid"	"C27H40N10O23P4R(C5H8O6PR)n"	"Metabolic pathways;Glyoxylate and dicarboxylate metabolism;Microbial metabolism in diverse environments;Tryptophan metabolism;Aminobenzoate degradation"	"putative_multi"
"153.05389_1.18"	152.04642	152.0473	"C05852"	"2-Hydroxyphenylacetate; 2-Hydroxyphenylacetic acid; 2-Phenylethanol; (alpha-D-Mannosyl)4-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol"	"C8H8O3"	"Metabolic pathways;Biosynthesis of secondary metabolites;Thiamine metabolism;Microbial metabolism in diverse environments;Phenylalanine metabolism;Terpenoid backbone biosynthesis;Biosynthesis of terpenoids and steroids;Vancomycin resistance;Peptidoglycan biosynthesis;Phenylpropanoid biosynthesis;Styrene degradation;N-Glycan biosynthesis;Metabolic pathways;N-Glycan biosynthesis;Metabolic pathways;N-Glycan biosynthesis;Metabolic pathways;N-Glycan biosynthesis;Metabolic pathways"	"putative_multi"
"156.10207_7.334"	157.10934	157.1103	"C12535"	"Oxethazaine; Oxetacaine; Tranexamic acid"	"C8H15NO2"	"Bile secretion"	"putative_single"
"158.06023_6.949"	159.06797	159.0684	"C00637"	"Indole-3-acetaldehyde; 2-(Indol-3-yl)acetaldehyde; Indoleacetaldehyde; 7-[3,5-Dihydroxy-2-(3-hydroxy-1-octenyl)cyclopentyl]-5-heptenoic acid; 9a,11a-PGF2; Amoglandin; Cyclosin; D-Mannitol 1-phosphate; Dinoprost; Enzaprost; Enzaprost F; Panacelan; PGF2a; 9,11,15-Trihydroxy-(5Z,9a,11a,13E,15S)-prosta-5,13-dien-1-oic acid; Prostaglandin F2a; Prostin F 2 alpha; Protamodin; U 14583; (5Z,9alpha,11alpha,13E,15S)-9,11,15-Trihydroxyprosta-5,13-dienoate"	"C10H9NO"	"Metabolic pathways;Bile secretion;Biosynthesis of secondary metabolites;Neuroactive ligand-receptor interaction;Vitamin digestion and absorption;Fatty acid degradation;Microbial metabolism in diverse environments;Vitamin B6 metabolism;Tyrosine metabolism;Phenylalanine metabolism;Biosynthesis of alkaloids derived from shikimate pathway;Degradation of aromatic compounds;Phosphotransferase system (PTS);Fatty acid biosynthesis;Fatty acid elongation;Tryptophan metabolism;Inositol phosphate metabolism;Phospholipase D signaling pathway;Long-term depression;Amino sugar and nucleotide sugar metabolism;Biosynthesis of various nucleotide sugars;Glycerolipid metabolism;Biosynthesis of nucleotide sugars;Degradation of flavonoids;Glycerophospholipid metabolism;Adipocytokine signaling pathway;Teichoic acid biosynthesis;Phosphatidylinositol signaling system;Axon regeneration;Serotonergic synapse;Oxytocin signaling pathway;Fructose and mannose metabolism;Arachidonic acid metabolism;Ovarian steroidogenesis"	"putative_multi"
"158.06023_6.949"	159.06797	159.0684	"C21873"	"2-Methylquinolin-4-ol; 2-Methyl-4-hydroxyquinoline; Pyridin-1-ium-3-carboxylate-5-thiocarboxylate mononucleotide; Aurachin B epoxide"	"C10H9NO"	"Metabolic pathways;Biosynthesis of various antibiotics;Biosynthesis of secondary metabolites"	"putative_multi"
"158.08132_5.581"	159.08859	159.0895	"C03083"	"5-Methylthio-D-ribose; S-Methyl-5-thio-D-ribose; 5-(Methylsulfanyl)-D-ribose; 5-Phosphoribosyl-1-amine; 4-Substituted anilide"	"C7H5NOR2"	"Metabolic pathways;Purine metabolism;Biosynthesis of secondary metabolites;Alanine, aspartate and glutamate metabolism;Cysteine and methionine metabolism;Biosynthesis of plant secondary metabolites;Lysine degradation;Monoterpenoid biosynthesis"	"putative_single"
"158.08135_4.104"	159.08862	159.0895	"C03083"	"5-Methylthio-D-ribose; S-Methyl-5-thio-D-ribose; 5-(Methylsulfanyl)-D-ribose; 5-Phosphoribosyl-1-amine; 4-Substituted anilide"	"C7H5NOR2"	"Metabolic pathways;Purine metabolism;Biosynthesis of secondary metabolites;Alanine, aspartate and glutamate metabolism;Cysteine and methionine metabolism;Biosynthesis of plant secondary metabolites;Lysine degradation;Monoterpenoid biosynthesis"	"putative_single"
"159.02772_1.862"	158.02044	158.0215	"C06035"	"4-Methylene-2-oxoglutarate; 2-Methylidene-4-oxopentanedioic acid; 4-Carboxy-2-oxo-4-pentenoate; 4-Methylene-2-oxoglutaric acid; 1,2-Diacyl-3-O-(alpha-D-galactosyl(1->6)-O-alpha-D-galactosyl(1->6)-O-beta-D-galactosyl)-sn-glycerol; 3-[alpha-D-Galactosyl-(1->6)-alpha-D-galactosyl-(1->6)-beta-D-galactosyl]-1,2-diacyl-sn-glycerol; 1,2-Diacyl-3-O-[alpha-D-galactopyranosyl(1->6)-O-alpha-D-galactopyranosyl(1->6)-O-beta-D-galactopyranosyl]-sn-glycerol"	"C6H6O5"	"Metabolic pathways;Microbial metabolism in diverse environments;Tyrosine metabolism;Benzoate degradation;C5-Branched dibasic acid metabolism;Glycerolipid metabolism;Teichoic acid biosynthesis;Teichoic acid biosynthesis"	"putative_single"
"160.09695_1.13"	159.08968	159.0895	"C03083"	"5-Methylthio-D-ribose; S-Methyl-5-thio-D-ribose; 5-(Methylsulfanyl)-D-ribose; 5-Phosphoribosyl-1-amine; 4-Substituted anilide"	"C7H5NOR2"	"Metabolic pathways;Purine metabolism;Biosynthesis of secondary metabolites;Alanine, aspartate and glutamate metabolism;Cysteine and methionine metabolism;Biosynthesis of plant secondary metabolites;Lysine degradation;Monoterpenoid biosynthesis"	"putative_single"
"160.09705_4.113"	159.08981	159.0895	"C03083"	"5-Methylthio-D-ribose; S-Methyl-5-thio-D-ribose; 5-(Methylsulfanyl)-D-ribose; 5-Phosphoribosyl-1-amine; 4-Substituted anilide"	"C7H5NOR2"	"Metabolic pathways;Purine metabolism;Biosynthesis of secondary metabolites;Alanine, aspartate and glutamate metabolism;Cysteine and methionine metabolism;Biosynthesis of plant secondary metabolites;Lysine degradation;Monoterpenoid biosynthesis"	"putative_single"
"161.09211_0.992"	160.08486	160.0848	"C03151"	"O-Feruloylgalactarate; O-Feruloylgalactaric acid; 2'-(E)-O-Feruloylgalactaric acid; 4-(2-Carboxyphenyl)-4-oxobutanoyl-CoA; N2-Acylated Arg-CH2Cl"	"C8H14ClN4O2R"	"Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Ubiquinone and other terpenoid-quinone biosynthesis;Polycyclic aromatic hydrocarbon degradation"	"putative_single"
"162.11252_1.02"	161.10525	161.1052	"C00318"	"L-Carnitine; L-gamma-Trimethyl-beta-hydroxybutyrobetaine; Vitamin BT; 3-Carboxy-2-hydroxy-N,N,N-trimethyl-1-propanaminium hydroxide, inner salt; Levocarnitine; (R)-Carnitine; Glycoprotein"	"C7H15NO3"	"Metabolic pathways;Bile secretion;Diabetic cardiomyopathy;Biosynthesis of secondary metabolites;Biosynthesis of cofactors;Necroptosis;Thermogenesis;ABC transporters;Arginine biosynthesis;Methane metabolism;Lipoic acid metabolism;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of various plant secondary metabolites;Biosynthesis of phenylpropanoids;Biosynthesis of alkaloids derived from shikimate pathway;2-Oxocarboxylic acid metabolism;Degradation of aromatic compounds;Lysine biosynthesis;Lysine degradation;Tryptophan metabolism;Biosynthesis of various alkaloids;Apoptosis;Amino sugar and nucleotide sugar metabolism;Biosynthesis of various nucleotide sugars;Biosynthesis of nucleotide sugars;Sulfur metabolism;Sulfur cycle;Sphingolipid metabolism;Sphingolipid signaling pathway;African trypanosomiasis;Phenylpropanoid biosynthesis;Fructose and mannose metabolism;Flavonoid biosynthesis;Stilbenoid, diarylheptanoid and gingerol biosynthesis"	"putative_single"
"164.03775_1.129"	165.04503	165.046	"C02986"	"L-Glutaminyl-peptide; L-Glutaminyl-protein; N-Terminal L-glutaminyl-[protein]; L-Glutamyl-tRNA(Glu)"	"C7H12N3O4R(C2H2NOR)n"	"Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors;Fatty acid degradation;Microbial metabolism in diverse environments;Cysteine and methionine metabolism;Phosphotransferase system (PTS);Fatty acid metabolism;Porphyrin metabolism;Aminoacyl-tRNA biosynthesis;Starch and sucrose metabolism;Fructose and mannose metabolism"	"putative_single"
"164.07084_6.827"	165.07811	165.079	"C02056"	"Phenylalanine; alpha-Amino-beta-phenylpropionic acid; Phytonadione; 2-Methyl-3-phytyl-1,4-naphthoquinone; Peptidyl-tRNA"	"C14H21N2O12PR4(C5H8O6PR)n"	"Photosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors;Vitamin digestion and absorption;Pyrimidine metabolism;Tropane, piperidine and pyridine alkaloid biosynthesis;Ubiquinone and other terpenoid-quinone biosynthesis"	"putative_multi"
"164.07084_6.827"	165.07811	165.079	"C18090"	"Tricaine; 3-Aminobenzoic acid; m-Aminobenzoate; PCDD 54; Ethylnitronate"	"C9H11NO2"	"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Dioxin degradation;Porphyrin metabolism;Amino sugar and nucleotide sugar metabolism;Biosynthesis of nucleotide sugars;Staurosporine biosynthesis;Fructose and mannose metabolism;Opioid receptor agonists/antagonists"	"putative_multi"
"164.07084_6.827"	165.07811	165.079	"C22018"	"L-Tyrosinal; (2S)-2-Amino-3-(4-hydroxyphenyl)propanal; 1-[(17Z)-Hexacos-17-enoyl]-2-acyl-[phosphoglycerolipid]"	"C30H55O8PR2"	"Metabolic pathways;D-Amino acid metabolism"	"putative_multi"
"165.05477_1.209"	164.04751	164.0473	"C00165"	"Diacylglycerol; Diglyceride; alpha-Ketohydrocinnamic acid; keto-Phenylpyruvate; 3-Phenyl-2-oxopropanoate; 2-Oxo-3-phenylpropanoate; MTA; Carbamoyl phosphate; 5'-Deoxy-5'-(methylsulfanyl)adenosine"	"C5H6O5R2"	"Metabolic pathways;Thyroid hormone synthesis;Salivary secretion;Gastric acid secretion;Pancreatic secretion;Pathways of neurodegeneration - multiple diseases;Diabetic cardiomyopathy;Purine metabolism;Zeatin biosynthesis;Biosynthesis of secondary metabolites;Biosynthesis of cofactors;Calcium signaling pathway;HIF-1 signaling pathway;Neuroactive ligand signaling;Platelet activation;Thermogenesis;Inflammatory mediator regulation of TRP channels;Insulin secretion;Parkinson disease;Aldosterone synthesis and secretion;Glyoxylate and dicarboxylate metabolism;Nitrogen metabolism;Parathyroid hormone synthesis, secretion and action;Cholinergic synapse;Fat digestion and absorption;Arginine biosynthesis;Glycine, serine and threonine metabolism;Methane metabolism;Microbial metabolism in diverse environments;Carbon metabolism;Biosynthesis of amino acids;Carbohydrate digestion and absorption;Alanine, aspartate and glutamate metabolism;Vibrio cholerae infection;Pyrimidine metabolism;Cysteine and methionine metabolism;Biosynthesis of plant secondary metabolites;cAMP signaling pathway;Regulation of lipolysis in adipocytes;Pentose and glucuronate interconversions;Ascorbate and aldarate metabolism;Phenylalanine metabolism;D-Amino acid metabolism;2-Oxocarboxylic acid metabolism;Insulin resistance;Fatty acid biosynthesis;Phospholipase D signaling pathway;Gap junction;Circadian entrainment;Long-term potentiation;Retrograde endocannabinoid signaling;Glutamatergic synapse;Long-term depression;Spinocerebellar ataxia;Neutrophil extracellular trap formation;C-type lectin receptor signaling pathway;Amoebiasis;Coronavirus disease - COVID-19;Pathways in cancer;Hepatocellular carcinoma;Amino sugar and nucleotide sugar metabolism;Biosynthesis of various nucleotide sugars;Glycerolipid metabolism;Biosynthesis of nucleotide sugars;AGE-RAGE signaling pathway in diabetic complications;Ras signaling pathway;Rap1 signaling pathway;Adipocytokine signaling pathway;Tropane, piperidine and pyridine alkaloid biosynthesis;Sphingolipid signaling pathway;Phenylalanine, tyrosine and tryptophan biosynthesis;MAPK signaling pathway;ErbB signaling pathway;Chemokine signaling pathway;NF-kappa B signaling pathway;Adrenergic signaling in cardiomyocytes;Vascular smooth muscle contraction;Axon regeneration;VEGF signaling pathway;Apelin signaling pathway;Natural killer cell mediated cytotoxicity;Th1 and Th2 cell differentiation;Th17 cell differentiation;T cell receptor signaling pathway;B cell receptor signaling pathway;Fc epsilon RI signaling pathway;Fc gamma R-mediated phagocytosis;Neurotrophin signaling pathway;Serotonergic synapse;Dopaminergic synapse;Phototransduction - fly;GnRH signaling pathway;Estrogen signaling pathway;Melanogenesis;Thyroid hormone signaling pathway;Oxytocin signaling pathway;Relaxin signaling pathway;GnRH secretion;Growth hormone synthesis, secretion and action;Endocrine and other factor-regulated calcium reabsorption;Shigellosis;African trypanosomiasis;Human cytomegalovirus infection;Kaposi sarcoma-associated herpesvirus infection;Human immunodeficiency virus 1 infection;Glioma;Non-small cell lung cancer;PD-L1 expression and PD-1 checkpoint pathway in cancer;Choline metabolism in cancer;EGFR tyrosine kinase inhibitor resistance"	"putative_single"
"165.05477_1.379"	164.04749	164.0473	"C00165"	"Diacylglycerol; Diglyceride; alpha-Ketohydrocinnamic acid; keto-Phenylpyruvate; 3-Phenyl-2-oxopropanoate; 2-Oxo-3-phenylpropanoate; MTA; Carbamoyl phosphate; 5'-Deoxy-5'-(methylsulfanyl)adenosine"	"C5H6O5R2"	"Metabolic pathways;Thyroid hormone synthesis;Salivary secretion;Gastric acid secretion;Pancreatic secretion;Pathways of neurodegeneration - multiple diseases;Diabetic cardiomyopathy;Purine metabolism;Zeatin biosynthesis;Biosynthesis of secondary metabolites;Biosynthesis of cofactors;Calcium signaling pathway;HIF-1 signaling pathway;Neuroactive ligand signaling;Platelet activation;Thermogenesis;Inflammatory mediator regulation of TRP channels;Insulin secretion;Parkinson disease;Aldosterone synthesis and secretion;Glyoxylate and dicarboxylate metabolism;Nitrogen metabolism;Parathyroid hormone synthesis, secretion and action;Cholinergic synapse;Fat digestion and absorption;Arginine biosynthesis;Glycine, serine and threonine metabolism;Methane metabolism;Microbial metabolism in diverse environments;Carbon metabolism;Biosynthesis of amino acids;Carbohydrate digestion and absorption;Alanine, aspartate and glutamate metabolism;Vibrio cholerae infection;Pyrimidine metabolism;Cysteine and methionine metabolism;Biosynthesis of plant secondary metabolites;cAMP signaling pathway;Regulation of lipolysis in adipocytes;Pentose and glucuronate interconversions;Ascorbate and aldarate metabolism;Phenylalanine metabolism;D-Amino acid metabolism;2-Oxocarboxylic acid metabolism;Insulin resistance;Fatty acid biosynthesis;Phospholipase D signaling pathway;Gap junction;Circadian entrainment;Long-term potentiation;Retrograde endocannabinoid signaling;Glutamatergic synapse;Long-term depression;Spinocerebellar ataxia;Neutrophil extracellular trap formation;C-type lectin receptor signaling pathway;Amoebiasis;Coronavirus disease - COVID-19;Pathways in cancer;Hepatocellular carcinoma;Amino sugar and nucleotide sugar metabolism;Biosynthesis of various nucleotide sugars;Glycerolipid metabolism;Biosynthesis of nucleotide sugars;AGE-RAGE signaling pathway in diabetic complications;Ras signaling pathway;Rap1 signaling pathway;Adipocytokine signaling pathway;Tropane, piperidine and pyridine alkaloid biosynthesis;Sphingolipid signaling pathway;Phenylalanine, tyrosine and tryptophan biosynthesis;MAPK signaling pathway;ErbB signaling pathway;Chemokine signaling pathway;NF-kappa B signaling pathway;Adrenergic signaling in cardiomyocytes;Vascular smooth muscle contraction;Axon regeneration;VEGF signaling pathway;Apelin signaling pathway;Natural killer cell mediated cytotoxicity;Th1 and Th2 cell differentiation;Th17 cell differentiation;T cell receptor signaling pathway;B cell receptor signaling pathway;Fc epsilon RI signaling pathway;Fc gamma R-mediated phagocytosis;Neurotrophin signaling pathway;Serotonergic synapse;Dopaminergic synapse;Phototransduction - fly;GnRH signaling pathway;Estrogen signaling pathway;Melanogenesis;Thyroid hormone signaling pathway;Oxytocin signaling pathway;Relaxin signaling pathway;GnRH secretion;Growth hormone synthesis, secretion and action;Endocrine and other factor-regulated calcium reabsorption;Shigellosis;African trypanosomiasis;Human cytomegalovirus infection;Kaposi sarcoma-associated herpesvirus infection;Human immunodeficiency virus 1 infection;Glioma;Non-small cell lung cancer;PD-L1 expression and PD-1 checkpoint pathway in cancer;Choline metabolism in cancer;EGFR tyrosine kinase inhibitor resistance"	"putative_single"
"165.05485_6.588"	120.05667	120.0575	"C07113"	"Acetophenone; 1-Phenylethanone; Phenyl methyl ketone; Acetylbenzene; Methyl phenyl ketone; Melphalan"	"C8H8O"	"Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Ethylbenzene degradation;Chemical carcinogenesis - DNA adducts"	"putative_single"
"166.08647_6.807"	165.07919	165.079	"C02056"	"Phenylalanine; alpha-Amino-beta-phenylpropionic acid; Phytonadione; 2-Methyl-3-phytyl-1,4-naphthoquinone; Peptidyl-tRNA"	"C14H21N2O12PR4(C5H8O6PR)n"	"Photosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors;Vitamin digestion and absorption;Pyrimidine metabolism;Tropane, piperidine and pyridine alkaloid biosynthesis;Ubiquinone and other terpenoid-quinone biosynthesis"	"putative_multi"
"166.08647_6.807"	165.07919	165.079	"C18090"	"Tricaine; 3-Aminobenzoic acid; m-Aminobenzoate; PCDD 54; Ethylnitronate"	"C9H11NO2"	"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Dioxin degradation;Porphyrin metabolism;Amino sugar and nucleotide sugar metabolism;Biosynthesis of nucleotide sugars;Staurosporine biosynthesis;Fructose and mannose metabolism;Opioid receptor agonists/antagonists"	"putative_multi"
"166.08647_6.807"	165.07919	165.079	"C22018"	"L-Tyrosinal; (2S)-2-Amino-3-(4-hydroxyphenyl)propanal; 1-[(17Z)-Hexacos-17-enoyl]-2-acyl-[phosphoglycerolipid]"	"C30H55O8PR2"	"Metabolic pathways;D-Amino acid metabolism"	"putative_multi"
"168.98032_1.462"	169.98782	169.9885	"C16064"	"Liver-expressed antimicrobial peptide 2; LEAP-2; Thymosin alpha-1"	"C3H6O6S"	"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Cyanoamino acid metabolism;Styrene degradation"	"putative_single"
"170.09203_0.933"	169.08476	169.0851	"C01152"	"N(pi)-Methyl-L-histidine; N-pros-Methyl-L-histidine; 3-Methylhistidine; 1-Methylhistidine; Quercetin 3,3'-bissulfate"	"C7H11N3O2"	"Metabolic pathways;ABC transporters;Microbial metabolism in diverse environments;Arginine and proline metabolism;Biosynthesis of various plant secondary metabolites;Glycolysis / Gluconeogenesis;Tyrosine metabolism;Benzoate degradation;D-Amino acid metabolism;Biosynthesis of phenylpropanoids;Degradation of aromatic compounds;Histidine metabolism;Cocaine addiction;Amphetamine addiction;Alcoholism;Degradation of flavonoids;Dopaminergic synapse;Polycyclic aromatic hydrocarbon degradation;Flavone and flavonol biosynthesis"	"putative_single"
"173.0559_1.066"	174.06369	174.0641	"C00439"	"N-Formimino-L-glutamate; N-Formimidoyl-L-glutamate; L-Aspartic 4-semialdehyde; 2-trans,6-trans-Farnesyl diphosphate; (2E,6E)-Farnesyl diphosphate; 5-Methyltetrahydrofolate"	"C6H10N2O4"	"Carbon fixation by Calvin cycle;Metabolic pathways;One carbon pool by folate;Biosynthesis of various antibiotics;Biosynthesis of secondary metabolites;Biosynthesis of cofactors;Glycine, serine and threonine metabolism;Other carbon fixation pathways;Microbial metabolism in diverse environments;Carbon metabolism;Biosynthesis of amino acids;Arginine and proline metabolism;Monobactam biosynthesis;Cysteine and methionine metabolism;Biosynthesis of various plant secondary metabolites;Biosynthesis of plant secondary metabolites;Biosynthesis of plant hormones;Folate transport and metabolism;Antifolate resistance;Terpenoid backbone biosynthesis;Biosynthesis of various other secondary metabolites;Biosynthesis of terpenoids and steroids;Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Biosynthesis of alkaloids derived from terpenoid and polyketide;2-Oxocarboxylic acid metabolism;Lysine biosynthesis;Lysine degradation;Histidine metabolism;Biosynthesis of various siderophores;Galactose metabolism;Amino sugar and nucleotide sugar metabolism;Biosynthesis of nucleotide sugars;Peptidoglycan biosynthesis;Tropane, piperidine and pyridine alkaloid biosynthesis;Cobalamin transport and metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Steroid biosynthesis;Insect hormone biosynthesis;Carotenoid biosynthesis;Sesquiterpenoid and triterpenoid biosynthesis"	"putative_single"
"173.05594_1.216"	174.06322	174.0641	"C00439"	"N-Formimino-L-glutamate; N-Formimidoyl-L-glutamate; L-Aspartic 4-semialdehyde; 2-trans,6-trans-Farnesyl diphosphate; (2E,6E)-Farnesyl diphosphate; 5-Methyltetrahydrofolate"	"C6H10N2O4"	"Carbon fixation by Calvin cycle;Metabolic pathways;One carbon pool by folate;Biosynthesis of various antibiotics;Biosynthesis of secondary metabolites;Biosynthesis of cofactors;Glycine, serine and threonine metabolism;Other carbon fixation pathways;Microbial metabolism in diverse environments;Carbon metabolism;Biosynthesis of amino acids;Arginine and proline metabolism;Monobactam biosynthesis;Cysteine and methionine metabolism;Biosynthesis of various plant secondary metabolites;Biosynthesis of plant secondary metabolites;Biosynthesis of plant hormones;Folate transport and metabolism;Antifolate resistance;Terpenoid backbone biosynthesis;Biosynthesis of various other secondary metabolites;Biosynthesis of terpenoids and steroids;Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Biosynthesis of alkaloids derived from terpenoid and polyketide;2-Oxocarboxylic acid metabolism;Lysine biosynthesis;Lysine degradation;Histidine metabolism;Biosynthesis of various siderophores;Galactose metabolism;Amino sugar and nucleotide sugar metabolism;Biosynthesis of nucleotide sugars;Peptidoglycan biosynthesis;Tropane, piperidine and pyridine alkaloid biosynthesis;Cobalamin transport and metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Steroid biosynthesis;Insect hormone biosynthesis;Carotenoid biosynthesis;Sesquiterpenoid and triterpenoid biosynthesis"	"putative_single"
"174.07613_1.202"	173.06891	173.0688	"C12121"	"Isoformononetin; 4'-Hydroxy-7-methoxyisoflavone; 5-Deoxy-5-aminoshikimic acid"	"C7H11NO4"	"Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of phenylpropanoids;Sphingolipid metabolism;Sphingolipid signaling pathway;Flavonoid biosynthesis;Isoflavonoid biosynthesis"	"putative_single"
"174.07618_1.366"	173.06888	173.0688	"C12121"	"Isoformononetin; 4'-Hydroxy-7-methoxyisoflavone; 5-Deoxy-5-aminoshikimic acid"	"C7H11NO4"	"Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of phenylpropanoids;Sphingolipid metabolism;Sphingolipid signaling pathway;Flavonoid biosynthesis;Isoflavonoid biosynthesis"	"putative_single"
"174.0762_0.978"	173.0689	173.0688	"C12121"	"Isoformononetin; 4'-Hydroxy-7-methoxyisoflavone; 5-Deoxy-5-aminoshikimic acid"	"C7H11NO4"	"Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of phenylpropanoids;Sphingolipid metabolism;Sphingolipid signaling pathway;Flavonoid biosynthesis;Isoflavonoid biosynthesis"	"putative_single"
"175.09678_7.196"	176.10404	176.1049	"C11917"	"dTDP-4-oxo-2,6-dideoxy-D-glucose; dTDP-4-oxo-2,6-dideoxy-alpha-D-glucose; dTDP-4-dehydro-2,6-dideoxy-alpha-D-glucose; dTDP-4-keto-2,6-dideoxy-D-glucose; dTDP-4-keto-2,6-dideoxyglucose; L-Cladinose"	"C8H16O4"	"Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of various nucleotide sugars;Biosynthesis of nucleotide sugars;Biosynthesis of 12-, 14- and 16-membered macrolides;Polyketide sugar unit biosynthesis;Limonene degradation"	"putative_single"
"176.07076_7.271"	175.06348	175.0633	"C00954"	"Indole-3-acetate; Indole-3-acetic acid; (Indol-3-yl)acetate; Indoleacetate; Indoleacetic acid; (1H-indol-3-yl)acetate; IAA; RNA 5'-phosphate"	"C10H9NO2"	"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Cysteine and methionine metabolism;Biosynthesis of plant hormones;2-Oxocarboxylic acid metabolism;Aflatoxin biosynthesis;Lysine biosynthesis;Lysine degradation;Tryptophan metabolism;Starch and sucrose metabolism;Plant hormone signal transduction;Penicillin and cephalosporin biosynthesis;Ether lipid metabolism"	"putative_multi"
"176.07076_7.271"	175.06348	175.0633	"C01386"	"NH2Mec; 7-Amino-4-methylcoumarin; 3-Methyl-2-buten-1-ol; Phytol"	"C10H9NO2"	"Metabolic pathways;Cyanoamino acid metabolism;Riboflavin metabolism"	"putative_multi"
"179.14308_7.981"	178.13583	178.1358	"C07523"	"Propofol; 2,6-Diisopropylphenol; Midazolam"	"C12H18O"	""	"putative_single"
